CustomerID,Recency,Frequency,Monetary,R,F,M,RFM Score,Segment
58803.0,321,1,37.75,1,1,3,113,hibernating
58806.0,321,1,8.99,1,1,1,111,hibernating
58809.0,321,1,7.05,1,1,1,111,hibernating
58810.0,321,1,2.0,1,1,1,111,hibernating
58813.0,312,2,15.860000000000001,1,4,2,142,at risk
58814.0,132,6,847.024,4,5,5,455,loyal customers
58815.0,321,1,14.65,1,1,2,112,hibernating
58816.0,321,1,154.6,1,1,4,114,hibernating
58817.0,321,1,14.89,1,1,2,112,hibernating
58818.0,321,1,15.9,1,1,2,112,hibernating
58819.0,321,1,154.6,1,1,4,114,hibernating
58820.0,224,3,51.3,2,5,4,254,can't loose
58822.0,320,1,23.89,1,1,3,113,hibernating
58824.0,321,1,42.68,1,1,3,113,hibernating
58825.0,128,8,1368.196,4,5,5,455,loyal customers
58826.0,217,5,291.126,3,5,5,355,loyal customers
58827.0,132,8,1343.716,4,5,5,455,loyal customers
58828.0,219,5,570.4359999999999,3,5,5,355,loyal customers
58829.0,321,1,22.39,1,1,3,113,hibernating
58830.0,321,1,1.79,1,1,1,111,hibernating
58834.0,321,1,1.45,1,1,1,111,hibernating
58836.0,321,1,15.62,1,1,2,112,hibernating
58837.0,125,10,1918.536,4,5,5,455,loyal customers
58838.0,321,1,15.23,1,1,2,112,hibernating
58839.0,298,2,17.31,1,4,2,142,at risk
58841.0,320,1,32.7,1,1,3,113,hibernating
58842.0,44,2,31.715000000000003,5,4,3,543,champions
58843.0,320,1,27.979999999999997,1,1,3,113,hibernating
58844.0,221,1,10.19,2,1,2,212,hibernating
58846.0,320,1,19.99,1,1,3,113,hibernating
58847.0,276,2,26.25,1,4,3,143,at risk
58848.0,320,1,34.83,1,1,3,113,hibernating
58849.0,270,7,921.2800000000001,1,5,5,155,can't loose
58850.0,299,6,635.875,1,5,5,155,can't loose
58852.0,312,1,7.99,1,1,1,111,hibernating
58853.0,320,1,2.79,1,1,1,111,hibernating
58854.0,205,4,23.692,3,5,3,353,loyal customers
58855.0,320,1,2.0,1,1,1,111,hibernating
58856.0,320,1,100.0,1,1,4,114,hibernating
58857.0,320,1,10.3,1,1,2,112,hibernating
58858.0,211,6,218.23999999999998,3,5,5,355,loyal customers
58859.0,320,1,7.5,1,1,1,111,hibernating
58860.0,320,1,9.99,1,1,1,111,hibernating
58862.0,152,6,101.81,3,5,4,354,loyal customers
58864.0,320,2,15.15,1,4,2,142,at risk
58865.0,237,2,28.54,2,4,3,243,at risk
58866.0,320,1,4.57,1,1,1,111,hibernating
58867.0,320,1,19.99,1,1,3,113,hibernating
58869.0,320,1,8.5,1,1,1,111,hibernating
58870.0,207,3,35.230000000000004,3,5,3,353,loyal customers
58871.0,320,1,17.64,1,1,2,112,hibernating
58872.0,64,2,24.98,5,4,3,543,champions
58873.0,320,1,3.33,1,1,1,111,hibernating
58874.0,320,1,14.36,1,1,2,112,hibernating
58875.0,320,1,7.5,1,1,1,111,hibernating
58878.0,320,1,13.9,1,1,2,112,hibernating
58879.0,320,1,26.5,1,1,3,113,hibernating
58880.0,318,2,357.1,1,4,5,145,at risk
58883.0,320,1,11.11,1,1,2,112,hibernating
58885.0,320,1,6.2,1,1,1,111,hibernating
58886.0,320,1,27.0,1,1,3,113,hibernating
58887.0,320,1,29.1,1,1,3,113,hibernating
58888.0,233,8,173.72,2,5,4,254,can't loose
58889.0,264,3,220.01000000000002,1,5,5,155,can't loose
58890.0,320,1,50.0,1,1,4,114,hibernating
58891.0,320,1,9.94,1,1,1,111,hibernating
58892.0,315,1,9.33,1,1,1,111,hibernating
58893.0,320,1,1.87,1,1,1,111,hibernating
58895.0,224,2,34.97,2,4,3,243,at risk
58897.0,311,4,56.260000000000005,1,5,4,154,can't loose
58898.0,320,1,3.99,1,1,1,111,hibernating
58899.0,320,2,93.25999999999999,1,4,4,144,at risk
58900.0,320,1,8.69,1,1,1,111,hibernating
58902.0,306,2,20.979999999999997,1,4,3,143,at risk
58903.0,40,2,25.48,5,4,3,543,champions
58905.0,319,2,23.490000000000002,1,4,3,143,at risk
58906.0,319,1,49.0,1,1,3,113,hibernating
58907.0,320,1,21.11,1,1,3,113,hibernating
58908.0,320,1,15.0,1,1,2,112,hibernating
58909.0,320,1,3.8,1,1,1,111,hibernating
58911.0,320,1,2.9,1,1,1,111,hibernating
58912.0,320,1,7.99,1,1,1,111,hibernating
58913.0,320,10,136.0,1,5,4,154,can't loose
58914.0,320,1,7.2,1,1,1,111,hibernating
58915.0,319,1,10.99,1,1,2,112,hibernating
58917.0,320,1,9.79,1,1,1,111,hibernating
58919.0,320,1,5.8,1,1,1,111,hibernating
58920.0,320,1,49.0,1,1,3,113,hibernating
58922.0,320,1,9.4,1,1,1,111,hibernating
58923.0,307,1,9.99,1,1,1,111,hibernating
58924.0,310,1,17.75,1,1,2,112,hibernating
58925.0,308,2,26.9,1,4,3,143,at risk
58926.0,320,1,6.2,1,1,1,111,hibernating
58927.0,320,1,49.980000000000004,1,1,4,114,hibernating
58929.0,320,1,61.44,1,1,4,114,hibernating
58931.0,311,1,1.38,1,1,1,111,hibernating
58933.0,317,1,1.575,1,1,1,111,hibernating
58935.0,140,2,51.3,3,4,4,344,loyal customers
58936.0,320,1,49.0,1,1,3,113,hibernating
58937.0,117,10,428.80600000000004,4,5,5,455,loyal customers
58938.0,320,1,7.7,1,1,1,111,hibernating
58939.0,320,1,11.11,1,1,2,112,hibernating
58940.0,320,1,16.0,1,1,2,112,hibernating
58941.0,320,1,21.24,1,1,3,113,hibernating
58942.0,312,1,11.99,1,1,2,112,hibernating
58944.0,319,1,6.5,1,1,1,111,hibernating
58945.0,319,1,3.5,1,1,1,111,hibernating
58946.0,255,7,118.4,1,5,4,154,can't loose
58947.0,318,1,111.0,1,1,4,114,hibernating
58948.0,319,1,93.0,1,1,4,114,hibernating
58949.0,319,1,6.99,1,1,1,111,hibernating
58952.0,319,1,8.99,1,1,1,111,hibernating
58953.0,319,1,9.09,1,1,1,111,hibernating
58954.0,77,9,1537.5300000000002,5,5,5,555,champions
58955.0,270,1,49.0,1,1,3,113,hibernating
58956.0,319,1,13.37,1,1,2,112,hibernating
58957.0,319,1,10.55,1,1,2,112,hibernating
58958.0,319,1,6.5,1,1,1,111,hibernating
58959.0,319,1,16.1,1,1,2,112,hibernating
58960.0,319,1,100.0,1,1,4,114,hibernating
58961.0,319,1,3.5,1,1,1,111,hibernating
58962.0,319,1,10.5,1,1,2,112,hibernating
58964.0,319,1,14.99,1,1,2,112,hibernating
58967.0,319,1,3.8,1,1,1,111,hibernating
58968.0,319,1,14.99,1,1,2,112,hibernating
58971.0,313,2,44.480000000000004,1,4,3,143,at risk
58974.0,25,2,286.25,5,4,5,545,champions
58975.0,319,1,9.6,1,1,1,111,hibernating
58976.0,319,1,319.99,1,1,5,115,hibernating
58977.0,313,2,5.960000000000001,1,4,1,141,at risk
58979.0,319,1,6.75,1,1,1,111,hibernating
58981.0,319,1,14.399999999999999,1,1,2,112,hibernating
58982.0,319,1,10.5,1,1,2,112,hibernating
58983.0,319,1,7.05,1,1,1,111,hibernating
58985.0,306,2,22.990000000000002,1,4,3,143,at risk
58987.0,319,1,2.49,1,1,1,111,hibernating
58988.0,319,1,13.5,1,1,2,112,hibernating
58989.0,319,1,9.25,1,1,1,111,hibernating
58990.0,319,1,13.8,1,1,2,112,hibernating
58992.0,96,2,19.939999999999998,4,4,2,442,loyal customers
58993.0,316,3,6.93,1,5,1,151,can't loose
58997.0,319,1,11.11,1,1,2,112,hibernating
58998.0,319,1,100.0,1,1,4,114,hibernating
58999.0,301,2,35.34,1,4,3,143,at risk
59001.0,318,1,13.98,1,1,2,112,hibernating
59002.0,319,1,7.5,1,1,1,111,hibernating
59005.0,319,1,10.0,1,1,2,112,hibernating
59006.0,18,2,24.97,5,4,3,543,champions
59007.0,319,1,5.54,1,1,1,111,hibernating
59008.0,319,1,64.0,1,1,4,114,hibernating
59009.0,319,1,13.97,1,1,2,112,hibernating
59010.0,319,1,6.44,1,1,1,111,hibernating
59011.0,319,1,10.260000000000002,1,1,2,112,hibernating
59012.0,319,1,1.67,1,1,1,111,hibernating
59013.0,319,1,46.9,1,1,3,113,hibernating
59014.0,319,2,2.2,1,4,1,141,at risk
59015.0,319,1,15.99,1,1,2,112,hibernating
59016.0,319,1,4.65,1,1,1,111,hibernating
59018.0,319,1,13.33,1,1,2,112,hibernating
59019.0,319,1,74.99000000000001,1,1,4,114,hibernating
59020.0,319,1,23.429999999999996,1,1,3,113,hibernating
59021.0,319,1,7.99,1,1,1,111,hibernating
59022.0,319,1,10.9399,1,1,2,112,hibernating
59023.0,319,1,21.4,1,1,3,113,hibernating
59024.0,58,3,28.728,5,5,3,553,champions
59025.0,226,2,22.45,2,4,3,243,at risk
59027.0,319,1,8.5,1,1,1,111,hibernating
59029.0,319,1,8.26,1,1,1,111,hibernating
59030.0,319,1,66.39,1,1,4,114,hibernating
59031.0,319,1,30.8,1,1,3,113,hibernating
59032.0,319,1,3.5,1,1,1,111,hibernating
59033.0,23,2,115.3,5,4,4,544,champions
59034.0,264,3,14.08,1,5,2,152,can't loose
59035.0,318,1,24.839999999999996,1,1,3,113,hibernating
59036.0,318,1,9.99,1,1,1,111,hibernating
59037.0,318,3,141.69,1,5,4,154,can't loose
59039.0,305,4,557.5699999999999,1,5,5,155,can't loose
59040.0,318,1,40.0,1,1,3,113,hibernating
59042.0,318,1,18.8,1,1,2,112,hibernating
59043.0,318,1,15.39,1,1,2,112,hibernating
59044.0,318,1,8.2,1,1,1,111,hibernating
59045.0,316,2,42.480000000000004,1,4,3,143,at risk
59046.0,318,1,26.0,1,1,3,113,hibernating
59047.0,248,3,34.88,1,5,3,153,can't loose
59048.0,318,1,6.48,1,1,1,111,hibernating
59049.0,311,2,17.88,1,4,2,142,at risk
59050.0,318,1,10.0,1,1,2,112,hibernating
59051.0,271,3,40.25,1,5,3,153,can't loose
59052.0,318,1,16.65,1,1,2,112,hibernating
59053.0,318,1,49.0,1,1,3,113,hibernating
59054.0,307,1,60.0,1,1,4,114,hibernating
59056.0,318,1,10.55,1,1,2,112,hibernating
59060.0,318,1,2.85,1,1,1,111,hibernating
59061.0,318,1,3.1900000000000004,1,1,1,111,hibernating
59062.0,318,1,24.35,1,1,3,113,hibernating
59067.0,215,7,222.53,3,5,5,355,loyal customers
59068.0,318,1,1.5,1,1,1,111,hibernating
59071.0,318,1,10.5,1,1,2,112,hibernating
59072.0,52,4,46.49,5,5,3,553,champions
59073.0,318,1,2.79,1,1,1,111,hibernating
59074.0,158,6,81.03,3,5,4,354,loyal customers
59075.0,318,1,21.24,1,1,3,113,hibernating
59076.0,290,2,11.620000000000001,1,4,2,142,at risk
